object file;clef.processing_file;GENERAL_KB;CS.NREKB;CS.NRE.SRC;CS.RLKKB;CS.RLK.SRC;CS.RLK.CHECK;CS.RLK checker;CS.RLK;CS.NPS.USE;CS.NPS.CHECK;CS.NPS.CREATE;CS.NPS;TaintedStringKB;RelativePath.SOURCEKB;TaintedString.SINKKB;TaintedAllocKB;CheckLocAddrRet;HardcodedCredentials;restore mir;clef.kbDInit;clef.kbDInit.establishConnection;clef.kbDInit.getKBsFromKwlef;clef.kbDInit.getKBsFromKwlef.3;recv_cached_data;mir_function_init;mir_function_finalize;clef.kbDump;clef.kbDumpSocket;clef.kbDump.concedges;kwcs.Loading external assemblies;kwcs.Processing assembly:CS1;kwcs.kwcs.stage:parser;kwcs.kwcs.stage:first sema pass;kwcs.kwcs.stage:second sema pass;kwcs.kwcs.stage:third sema pass;kwcs.kwcs.stage:RDT pass;kwcs.kwcs.stage:MIR generation;kwcs.kwcs.stage:MIR Release;KWLEF.MAIN;KWLEF.input files parsing;KWLEF.call graph processing;KWLEF.CG.Create;KBDB_OVERALL;KBDB_SYNC;KBDB_NAMETABLE;KBDB_ENTITYTABLE;KBDB_KBTABLE;KBDB_TIMESTAMPS;KWLEF.statNPD;KWLEF.analysis loop;KBDB_SOCK_GET;KBDB_SOCK_GET_KB;KBDB_SOCK_UPD;KBDB_SOCK_UPD_KB;KBDB_SOCK_UPD_KB_DBWRITE;KWLEF.M2SOCK_INNER;KWLEF.M1SOCK_OUTER;KWLEF.generated kb dump;LINKER.ParsingOptions;LINKER.InitializationInv;LINKER.ReadingObjects;
null;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.271;0.025;0.002
QACInstallerPicker.App.dll_0.o;0.468;0.014;0.010;0.000;0.018;0.001;0.017;0.171;0.001;0.005;0.006;0.004;0.000;0.007;0.000;0.006;0.001;0.003;0.028;0.159;0.253;0.020;0.001;0.001;0.001;0.007;0.001;0.006;0.003;0.003;3.056;0.352;0.112;0.001;0.030;0.043;0.006;0.158;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
kw_timers.o;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.548;0.007;0.007;0.002;0.040;0.034;0.006;0.005;0.019;0.005;0.003;1.146;0.001;0.001;0.003;0.003;0.003;0.004;1.111;0.048;0.000;0.000;0.000
total;0.468;0.014;0.010;0.000;0.018;0.001;0.017;0.171;0.001;0.005;0.006;0.004;0.000;0.007;0.000;0.006;0.001;0.003;0.028;0.159;0.253;0.020;0.001;0.001;0.001;0.007;0.001;0.006;0.003;0.003;3.056;0.352;0.112;0.001;0.030;0.043;0.006;0.158;0.000;1.548;0.007;0.007;0.002;0.040;0.034;0.006;0.005;0.019;0.005;0.003;1.146;0.001;0.001;0.003;0.003;0.003;0.004;1.111;0.048;0.271;0.025;0.002
